vsn,instrument_id,variable_count,series_count,fact_row_count,start_time_utc,end_time_utc,coverage_days
W039,W039--vaisala-aqt530--core--5b8d3ce9a8bc,12,24,6108,2023-05-05T03:33:05.096190631Z,2023-05-05T12:15:04.599601708Z,0.362
W069,W069--vaisala-aqt530--core--7d3281693666,12,24,13073943,2025-03-08T00:22:23.633541931Z,2025-12-12T19:45:13.367572623Z,279.808
W08B,W08B--vaisala-aqt530--core--32060d89ddde,12,36,19961471,2024-09-25T14:33:51.513512900Z,2025-12-12T19:08:48.382265541Z,443.191
W08D,W08D--vaisala-aqt530--core--df6b0090a23b,12,96,37725560,2023-05-05T15:40:15.011519287Z,2025-12-16T20:14:30.980109155Z,956.19
W08E,W08E--vaisala-aqt530--core--0f892acf70d0,12,108,32435393,2023-12-13T19:00:22.715201529Z,2025-12-16T20:14:54.717422807Z,734.052
W095,W095--vaisala-aqt530--core--e163084cea0c,12,24,13220039,2025-03-14T17:10:10.829256060Z,2025-12-16T20:15:00.015917516Z,277.128
W096,W096--vaisala-aqt530--core--3f57d37437e3,12,48,26357539,2024-06-21T01:50:32.763882104Z,2025-12-16T20:15:13.458363039Z,543.767
W098,W098--vaisala-aqt530--core--b0f19aecf20a,12,24,1864134,2025-04-18T01:30:26.039965466Z,2025-06-06T04:44:12.266297458Z,49.135
W099,W099--vaisala-aqt530--core--94b6cd87b5de,12,60,37486629,2023-12-05T22:11:05.871946991Z,2025-12-16T20:15:13.135404615Z,741.92
W09D,W09D--vaisala-aqt530--core--af3057623701,12,36,14646248,2025-02-25T18:14:28.306134896Z,2025-12-12T19:38:20.543432103Z,290.058
W09E,W09E--vaisala-aqt530--core--5dc161afeff8,12,36,13416623,2024-07-23T00:32:34.305154466Z,2025-12-12T19:34:58.322174360Z,507.793
W09F,W09F--vaisala-aqt530--core--b4389df0426d,12,12,7716,2024-07-26T14:17:14.559045370Z,2025-02-27T23:56:09.422855958Z,216.402
W0A0,W0A0--vaisala-aqt530--core--895f71263bd4,12,24,17947962,2024-11-19T23:20:20.853962916Z,2025-12-16T16:43:25.063154587Z,391.724
W0A1,W0A1--vaisala-aqt530--core--7655b8cfb9bf,12,24,14152604,2025-02-21T00:20:15.333823684Z,2025-12-16T20:14:39.612208165Z,298.829
W0A4,W0A4--vaisala-aqt530--core--15eaee7f9137,12,60,8611264,2024-06-27T20:40:28.996781283Z,2025-12-16T20:14:04.911607688Z,536.982
