vsn,instrument_id,variable_count,series_count,fact_row_count,start_time_utc,end_time_utc,coverage_days
W01B,W01B--vaisala-wxt536--core--1b06dce7ed4d,9,36,2455527068,2023-10-19T00:37:10.409109701Z,2025-12-12T18:41:17.225679473Z,785.753
W039,W039--vaisala-wxt536--core--8b10123cd91c,8,8,3021256,2023-05-05T03:30:10.267826229Z,2023-05-05T12:15:09.141206740Z,0.365
W057,W057--vaisala-wxt536--core--81ca8e85f911,9,46,79241027,2023-05-06T19:20:19.084974283Z,2023-08-31T13:05:27.222850347Z,116.74
W067,W067--vaisala-wxt536--core--96608f5c339f,10,67,354754543,2023-10-19T01:01:30.357066099Z,2025-12-16T20:10:49.338774176Z,789.798
W069,W069--vaisala-wxt536--core--862be7fe459e,7,24,7316497,2024-10-07T22:21:46.714743220Z,2025-12-01T01:33:27.521163205Z,419.133
W06A,W06A--vaisala-wxt536--core--f6c1fd64a63b,9,36,1504243062,2024-10-21T14:00:08.404017226Z,2025-10-24T19:02:59.917038370Z,368.21
W06C,W06C--vaisala-wxt536--core--4fcd0ec203d1,9,60,2625646591,2024-11-20T03:50:09.903389402Z,2025-12-16T20:14:11.123246352Z,391.683
W071,W071--vaisala-wxt536--core--463d13083d94,9,18,1836946600,2025-02-24T21:30:08.113971505Z,2025-10-07T22:39:03.749070761Z,225.048
W08B,W08B--vaisala-wxt536--core--42f10dc622f2,9,74,3444183324,2024-09-25T14:31:52.545926426Z,2025-12-12T19:08:58.808392570Z,443.192
W08D,W08D--vaisala-wxt536--core--934c67f6166a,9,154,6150739142,2023-05-05T16:20:07.661126241Z,2025-12-16T20:00:50.995330836Z,956.153
W08E,W08E--vaisala-wxt536--core--e79753d1a123,9,131,4117030359,2023-05-19T17:10:08.234231813Z,2025-12-16T20:01:31.137442911Z,942.119
W095,W095--vaisala-wxt536--core--792d997c77e2,10,33,2627296648,2025-03-14T17:10:11.879108393Z,2025-12-16T20:01:21.676338731Z,277.119
W096,W096--vaisala-wxt536--core--cbc808667e24,11,102,4677125543,2024-06-20T22:49:31.596996864Z,2025-12-16T20:01:57.860974712Z,543.884
W097,W097--vaisala-wxt536--core--649ca0b6f6e4,9,20,2414315755,2025-01-31T20:50:12.295353816Z,2025-12-16T20:13:35.762406051Z,318.975
W098,W098--vaisala-wxt536--core--aa22a8ace90f,10,32,238050683,2025-04-17T22:57:26.670451516Z,2025-06-06T04:44:30.395179013Z,49.241
W099,W099--vaisala-wxt536--core--6c922d091b8d,9,70,6367106700,2023-12-05T22:10:10.776166674Z,2025-12-16T20:02:05.179741914Z,741.911
W09D,W09D--vaisala-wxt536--core--23a9906b4c45,10,32,2940841702,2025-02-25T18:12:28.627559571Z,2025-12-12T19:38:36.696347158Z,290.06
W09E,W09E--vaisala-wxt536--core--d09cea632c7b,10,31,2633312391,2024-07-26T21:28:27.657636776Z,2025-12-12T19:35:11.018725509Z,503.921
W09F,W09F--vaisala-wxt536--core--15bba9089188,9,9,109016,2024-07-26T14:07:59.709853266Z,2024-07-26T17:48:16.707296397Z,0.153
W0A0,W0A0--vaisala-wxt536--core--3981956aa520,9,49,3357907277,2024-11-19T23:20:13.218269796Z,2025-12-16T16:43:27.094117281Z,391.724
W0A1,W0A1--vaisala-wxt536--core--ee3274a084ad,10,33,2838193809,2025-02-21T00:20:06.376394813Z,2025-12-16T20:01:06.370145360Z,298.82
W0A4,W0A4--vaisala-wxt536--core--354abfb39272,9,55,4114222909,2024-06-27T20:30:06.756726708Z,2025-12-16T20:01:00.884959309Z,536.98
